labMIT-1.0.txt;;;;;;;
language assessment by Mechanical Turk 1.0;;;;;;;
;;;;;;;
word;happiness_rank;happiness_average;happiness_standard_deviation;twitter_rank;google_rank;nyt_rank;lyrics_rank
thankful;221;jul.44;15.005;1374;--;--;3569
wins;222;jul.44;12.643;1236;--;3064;4546
achieve;223;jul.42;12.304;--;2223;3456;--
adored;224;jul.42;14.441;--;--;1326;--
cash;225;jul.42;16.671;755;2494;1310;909
dances;226;jul.42;12.950;--;--;--;4757
gorgeous;227;jul.42;19.597;1645;--;--;--
grandchildren;228;jul.42;15.131;--;--;293;--
incredible;229;jul.42;13.415;2208;--;--;3783
lunch;230;jul.42;10.897;470;4895;2640;3286
mommy;231;jul.42;17.623;2482;--;--;2584
parties;232;jul.42;14.441;2595;1058;1612;3809
perfect;233;jul.42;17.154;642;1411;2277;625
saturday;234;jul.42;17.154;620;4379;224;1548
surprise;235;jul.42;15.398;1901;2902;2992;1314
truth;236;jul.42;14.010;713;595;2238;393
blessing;237;jul.40;17.379;4347;--;--;3875
creative;238;jul.40;11.952;1834;3012;2020;--
dinner;239;jul.40;11.429;245;2292;1328;2344
kindness;240;jul.40;10.880;4849;--;4445;4104
pleased;241;jul.40;11.606;4079;2903;4069;4770
sexy;242;jul.40;12.289;459;--;--;1111
strength;243;jul.40;11.606;2951;852;1876;967
thank;244;jul.40;11.249;259;2659;3584;736
thanks;245;jul.40;15.119;150;2893;3755;1773
thanksgiving;246;jul.40;14.142;784;--;--;--
treasure;247;jul.40;17.143;3879;--;--;2595
valentine;248;jul.40;17.023;1430;--;--;--
riches;249;jul.39;16.685;--;--;--;3090
awarded;250;jul.38;11.586;--;--;2556;--
fabulous;251;jul.38;15.372;2419;--;--;--
grandfather;252;jul.38;14.270;--;--;573;--
heavenly;253;jul.38;18.282;--;--;--;2469
hope;254;jul.38;13.076;92;705;591;291
kids;255;jul.38;16.022;223;4296;1465;612
magical;256;jul.38;12.919;3346;--;--;3927
million;257;jul.38;14.270;1027;1032;70;711
nice;258;jul.38;15.104;102;3154;2058;587
sundays;259;jul.38;14.553;4740;--;2117;--
wealth;260;jul.38;12.271;4292;1746;4969;3178
fantasies;261;jul.36;13.898;--;--;--;3592
cares;262;jul.36;13.962;2909;--;--;1245
dance;263;jul.36;14.394;694;2619;587;262
daughters;264;jul.36;12.249;--;3959;750;4031
favorable;265;jul.36;15.086;--;4193;--;--
friend's;266;jul.36;16.383;--;--;--;--
generosity;267;jul.36;12.739;--;--;3473;--
grateful;268;jul.36;14.675;2254;--;4615;4685
inspired;269;jul.36;11.021;1638;3648;2706;--
mothers;270;jul.36;14.675;--;3280;4594;3118
parents;271;jul.36;15.086;903;846;773;2518
valentine's;272;jul.36;13.211;--;--;--;--
intelligent;273;jul.35;15.504;--;3750;--;--
liberation;274;jul.35;13.039;--;4497;--;--
melody;275;jul.35;17.742;--;--;--;1821
wonderland;276;jul.35;16.400;--;--;--;4126
beloved;277;jul.34;12.715;--;4900;149;--
caring;278;jul.34;14.086;--;--;2485;--
homemade;279;jul.34;12.390;3204;--;--;--
inspiring;280;jul.34;11.886;4265;--;--;--
movies;281;jul.34;14.514;739;--;1904;2701
precious;282;jul.34;15.201;2990;4136;--;1329
respect;283;jul.34;16.113;1108;681;2009;1001
satisfaction;284;jul.34;11.178;--;2450;--;2878
satisfy;285;jul.34;14.373;--;3902;--;2507
wedding;286;jul.34;15.201;700;--;3095;2454
accomplished;287;jul.32;13.005;--;2767;3951;--
adorable;288;jul.32;16.956;1524;--;--;--
championship;289;jul.32;13.619;3707;--;1966;--
comfortable;290;jul.32;10.962;3887;3733;3311;4898
cuddle;291;jul.32;17.313;3764;--;--;--
games;292;jul.32;12.196;671;3441;559;1057
grandson;293;jul.32;14.769;--;--;2496;--
life;294;jul.32;16.956;84;103;157;70
lovely;295;jul.32;15.444;782;4534;--;1136
pretty;296;jul.32;16.956;152;1983;1684;448
proud;297;jul.32;14.348;695;3463;1808;1034
rose;298;jul.32;14.630;1938;1384;531;1145
united;299;jul.32;12.027;1662;244;98;3021
fruits;300;jul.31;15.303;--;4170;--;--
adventure;301;jul.30;14.321;2046;--;--;--
couple;302;jul.30;12.657;453;2357;1432;1309
dollars;303;jul.30;14.604;2503;2056;863;1915
eating;304;jul.30;17.757;532;3218;2595;2376
fortune;305;jul.30;13.887;4327;2985;4600;2013
generous;306;jul.30;14.743;--;4377;2523;--
golden;307;jul.30;13.439;1835;2631;2419;1025
hahah;308;jul.30;15.419;1542;--;--;--
hooray;309;jul.30;20.727;4511;--;--;--
intelligence;310;jul.30;11.995;--;1753;1257;--
lover;311;jul.30;19.299;3444;4730;4901;630
luxury;312;jul.30;16.812;2845;--;4254;--
money;313;jul.30;18.434;163;414;236;225
passion;314;jul.30;14.743;1955;2811;2908;1216
prosperity;315;jul.30;15.286;--;4090;--;--
remarkable;316;jul.30;13.286;--;2134;3525;--
sweetie;317;jul.30;11.294;3167;--;--;--
valentines;318;jul.30;17.757;1443;--;--;--
educated;319;jul.29;13.070;--;3270;--;--
gently;320;jul.29;12.748;--;4602;--;2690
baby;321;jul.28;18.521;157;2388;2147;53
books;322;jul.28;13.254;911;599;401;2166
bride;323;jul.28;15.391;3811;--;3353;3521
cherished;324;jul.28;15.784;--;--;647;--
cookies;325;jul.28;17.028;1391;--;--;--
dessert;326;jul.28;17.733;4525;--;--;--
employed;327;jul.28;13.559;--;1119;4869;--
glow;328;jul.28;12.943;--;--;--;1696
god;329;jul.28;19.277;136;181;1790;210
great-grandchildren;330;jul.28;17.028;--;--;--;--
helped;331;jul.28;12.943;2226;2063;975;3315
independence;332;jul.28;15.913;--;1745;2634;--
likes;333;jul.28;15.391;1541;--;4118;1440
luckily;334;jul.28;16.542;4888;--;--;--
moon;335;jul.28;13.708;818;2618;4687;454
perfectly;336;jul.28;15.913;3921;2339;--;4196
satisfied;337;jul.28;15.258;4295;2603;--;1520
sunday;338;jul.28;19.171;517;2537;114;1183
juicy;339;jul.27;12.037;--;--;--;4900
championships;340;jul.26;13.524;--;--;3124;--
divine;341;jul.26;14.115;--;1325;--;1855
dreaming;342;jul.26;12.586;3537;--;--;805
foods;343;jul.26;14.820;2923;4383;3500;--
fresh;344;jul.26;13.219;1025;1698;1557;1118
gladly;345;jul.26;11.214;--;--;--;4807
greatest;346;jul.26;15.228;1454;1214;2468;1721
hearts;347;jul.26;16.759;2326;3148;1563;597
luck;348;jul.26;18.824;397;--;--;996
millions;349;jul.26;15.361;3717;3072;1982;2863
musicians;350;jul.26;10.461;--;--;2870;--
play;351;jul.26;12.257;287;600;339;204
progress;352;jul.26;11.572;1627;1014;1927;4474
savings;353;jul.26;12.747;4129;4356;1586;--
appreciation;354;jul.24;14.653;--;4619;--;--
bliss;355;jul.24;17.562;3596;--;--;2684
bloom;356;jul.24;15.980;--;--;--;3127
book;357;jul.24;12.048;229;278;255;1063
child;358;jul.24;15.592;685;369;846;491
companion;359;jul.24;13.786;--;4269;2767;--
computer;360;jul.24;13.933;384;1450;762;4633
gardens;361;jul.24;13.486;--;4541;2554;--
gentle;362;jul.24;0.9806;--;3862;3811;2156
hahahah;363;jul.24;20.360;3594;--;--;--
helpful;364;jul.24;12.382;4334;3538;--;--
impressed;365;jul.24;10.412;1679;4667;--;4879
kind;366;jul.24;13.933;319;383;571;373
knowledge;367;jul.24;14.647;1758;374;2359;2168
liberty;368;jul.24;12.707;3427;1880;3517;3605
mama;369;jul.24;17.562;1525;--;--;535
nature;370;jul.24;18.020;1646;243;1464;1661
pal;371;jul.24;12.707;--;--;--;4745
passionate;372;jul.24;10.797;--;--;--;--
promoted;373;jul.24;14.923;--;--;4047;--
reward;374;jul.24;18.905;3952;3896;--;4930
warmth;375;jul.24;16.483;--;--;3873;3065
xmas;376;jul.24;21.050;769;--;--;--
danced;377;jul.22;12.122;--;--;--;2523
amazed;378;jul.22;18.658;3914;--;--;4272
appreciate;379;jul.22;11.830;1657;4834;4755;3449
brother;380;jul.22;12.337;482;1055;289;640
